path,stratum,confidence,reason,imports_surface
tools/schema_sanitizer.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/self_repo_guard.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/session_search_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/setup_mcp_tool.py,S4,HIGH,extension infrastructure (mcp_),
tools/shell_heredoc.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/skill_ledger.py,S4,HIGH,extension infrastructure (skill),
tools/skill_linter.py,S4,HIGH,extension infrastructure (skill),
tools/skill_manager_tool.py,S4,HIGH,extension infrastructure (skill),
tools/skill_provenance.py,S4,HIGH,extension infrastructure (skill),
tools/skill_usage.py,S4,HIGH,extension infrastructure (skill),
tools/skillevaluator_scan.py,S4,HIGH,extension infrastructure (skill),
tools/skills_ast_audit.py,S4,HIGH,extension infrastructure (skill),
tools/skills_guard.py,S4,HIGH,extension infrastructure (skill),
tools/skills_hub.py,S4,HIGH,extension infrastructure (skill),
tools/skills_sync.py,S4,HIGH,extension infrastructure (skill),
tools/skills_sync_client.py,S4,HIGH,extension infrastructure (skill),
tools/skills_tool.py,S4,HIGH,extension infrastructure (skill),
tools/slash_confirm.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/spill_safety.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/subagent_worktree.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/terminal_hints.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/terminal_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/thread_context.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/threat_patterns.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/tirith_security.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/todo_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/tool_backend_helpers.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/tool_output_limits.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
